message,sender_label,receiver_label,score_delta,speaker,receiver,game_id,message_position,season,year
germany  just the person i want to speak with i have a somewhat crazy idea that i’ve always wanted to try with ig but i’ve never actually convinced the other guy to try it and what’s worse it might make you suspicious of me   sodo i suggest it  i’m thinking that this is a low stakes game not a tournament or anything and an interesting and unusual move set might make it more fun that’s my hope anyway  what is your appetite like for unusual and crazy,1,True,0,italy,germany,1,0,Spring,1901
youve whet my appetite italy whats the suggestion,1,True,0,germany,italy,1,1,Spring,1901
👍,1,True,0,italy,germany,1,2,Spring,1901
it seems like there are a lot of ways that could go wrongi dont see why france would see you approachingtaking munichwhile i do nothing about itand not immediately feel skittish,1,True,0,germany,italy,1,3,Spring,1901
yeah i can’t say i’ve tried it and it works cause i’ve never tried it or seen it but how i think it would work is a my spring move looks like an attack on austria so it would not be surprising if you did not cover munich then b you build two armies which looks like we’re really at war and you’re going to eject me then we launch the attack in spring so there is really no part of this that would raise alarm bells with france  all that said i’ve literally never done it before and it does involve risk for you so i’m not offended or concerned if it’s just not for you i’m happy to play more conventionally too up to you,1,,0,italy,germany,1,4,Spring,1901
i am just sensing that you don’t like this idea so shall we talk about something else that was just a crazy idea i’ve always wanted to try i’m happy to play more conservatively,1,,0,italy,germany,1,5,Spring,1901
any thoughts,1,,0,italy,germany,1,6,Spring,1901
sorry italy ive been away doing um german things brewing lagers,1,True,0,germany,italy,1,7,Spring,1901
i dont think im ready to go for that idea however id be down for some good olfashioned austriakicking,1,False,0,germany,italy,1,8,Spring,1901
i am pretty conflicted about whether to guess that you were telling the truth or lying about the “brewing lagers” thing i am going to take it literally and say 👎 even though i don’t think you meant it deceptively 😉,1,True,0,italy,germany,1,9,Spring,1901
but i think i can get over “lagergate” and we can still be friends   as of right now i think austria may be my most reliable ally i’m thinking i’d like to play as a central trio if you have any interest in that thoughts,1,True,0,italy,germany,1,10,Spring,1901
we havent even passed a season yet and you have a most reliable ally  ill consider this proposal but basically im not going to expose myself to risk from either of you until ive seen a bit of your behavior,1,True,0,germany,italy,1,11,Spring,1901
well at least i have an idea of who to trust obviously my ideas are subject to change   i understand your desire to watch behavior before committing to anything i personally am a partner player i look carefully early in the game for a small group to work with and then i value loyalty and collaboration i like to work closely with a tightknit alliance   if you prefer to hop and back and forth or play more of an individual game then we might not be a good match   i’m looking for a loyal ally or two that i can coordinate with and make awesome moves with makes the game easier and a lot more fun,1,True,0,italy,germany,1,12,Spring,1901
